play_name,character,act,scene,sentence,text
The Jew of Malta,FERNEZE,ACT I.,none,6,"But here in Malta, where thou gott'st thy wealth,"
The Jew of Malta,FERNEZE,ACT I.,none,7,"Live still; and, if thou canst, get more."
The Jew of Malta,BARABAS,ACT I.,none,1,"Christians, what or how can I multiply?"
The Jew of Malta,BARABAS,ACT I.,none,2,Of naught is nothing made.
The Jew of Malta,FIRST KNIGHT,ACT I.,none,1,"From naught at first thou cam'st to little wealth,"
The Jew of Malta,FIRST KNIGHT,ACT I.,none,2,"]From little unto more, from more to most:"
The Jew of Malta,FIRST KNIGHT,ACT I.,none,3,"If your first curse fall heavy on thy head,"
The Jew of Malta,FIRST KNIGHT,ACT I.,none,4,"And make thee poor and scorn'd of all the world,"
The Jew of Malta,FIRST KNIGHT,ACT I.,none,5,"'Tis not our fault, but thy inherent sin."
The Jew of Malta,BARABAS,ACT I.,none,1,"What, bring you Scripture to confirm your wrongs?"
The Jew of Malta,BARABAS,ACT I.,none,2,Preach me not out of my possessions.
The Jew of Malta,BARABAS,ACT I.,none,3,"Some Jews are wicked, as all Christians are:"
The Jew of Malta,BARABAS,ACT I.,none,4,But say the tribe that I descended of
The Jew of Malta,BARABAS,ACT I.,none,5,"Were all in general cast away for sin,"
The Jew of Malta,BARABAS,ACT I.,none,6,Shall I be tried by their transgression?
The Jew of Malta,BARABAS,ACT I.,none,7,The man that dealeth righteously shall live;
The Jew of Malta,BARABAS,ACT I.,none,8,And which of you can charge me otherwise?
The Jew of Malta,FERNEZE,ACT I.,none,1,"Out, wretched Barabas!"
The Jew of Malta,FERNEZE,ACT I.,none,2,"Sham'st thou not thus to justify thyself,"
The Jew of Malta,FERNEZE,ACT I.,none,3,As if we knew not thy profession?
The Jew of Malta,FERNEZE,ACT I.,none,4,"If thou rely upon thy righteousness,"
The Jew of Malta,FERNEZE,ACT I.,none,5,"Be patient, and thy riches will increase."
The Jew of Malta,FERNEZE,ACT I.,none,6,Excess of wealth is cause of covetousness;
The Jew of Malta,FERNEZE,ACT I.,none,7,"And covetousness, O, 'tis a monstrous sin!"
The Jew of Malta,BARABAS,ACT I.,none,1,"Ay, but theft is worse:  tush! take not from me, then,"
The Jew of Malta,BARABAS,ACT I.,none,2,"For that is theft; and, if you rob me thus,"
The Jew of Malta,BARABAS,ACT I.,none,3,"I must be forc'd to steal, and compass more."
The Jew of Malta,FIRST KNIGHT,ACT I.,none,1,"Grave governor, list not to his exclaims:"
The Jew of Malta,FIRST KNIGHT,ACT I.,none,2,Convert his mansion to a nunnery;
The Jew of Malta,FIRST KNIGHT,ACT I.,none,3,His house will harbour many holy nuns.
The Jew of Malta,FERNEZE,ACT I.,none,1,It shall be so.
The Jew of Malta,FERNEZE,ACT I.,none,2,"Now, officers, have you done?"
